Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção - Minério ROM (t),Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,GO,Não-Metálicos,Talco e outras Cargas Minerais,25707.22,0.0,-,,25707.22,66024.37,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Areia,2457497.12,0.0,-,,1932736.76,37003254.57,1076.0,17260.0,2912.1,83852.6
2010,GO,Metálicos,Cobre,25275341.11,91456.12,t,Cu,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Areias Industriais,7018.0,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Amianto,4870538.69,351034.9,t,,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Não-Metálicos,Rochas Ornamentais,4958.63,0.0,-,,6327.58,674669.13,0.0,0.0,988.07,243931.9
2010,GO,Metálicos,Nióbio,4857571.0,26642.63,t,Nb2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,GO,Metálicos,Manganês,37378.45,16093.82,t,Mn,12435.37,1359282.25,0.0,0.0,0.0,0.0
2010,MA,Não-Metálicos,Areia,1200402.25,0.0,-,,1188853.83,14113812.08,0.0,0.0,0.0,0.0
2010,MA,Não-Metálicos,Calcário,779055.32,0.0,-,,111390.0,2735719.49,0.0,0.0,0.0,0.0
2010,MA,Energéticos,Turfa,0.0,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MA,Não-Metálicos,Saibro,3750.0,0.0,-,,3750.0,2250.0,0.0,0.0,0.0,0.0
2010,MA,Metálicos,Ouro,1453761.79,1651.14,kg,Au,0.0,0.0,0.0,0.0,0.0,0.0
2010,MA,Não-Metálicos,Gipsita,195556.44,0.0,-,,187853.44,2428769.15,0.0,0.0,0.0,0.0
2010,MA,Não-Metálicos,Argilas,583588.2,0.0,-,,61892.66,274707.96,121285.49,795921.88,373786.63,1938760.69
2010,MA,Não-Metálicos,Caulim,109109.0,0.0,-,,109109.0,937114.56,0.0,0.0,0.0,0.0
2010,MA,Metálicos,Ferro,113118.44,55428.03,t,Fe,113118.44,5737164.05,0.0,0.0,0.0,0.0
2010,MA,Não-Metálicos,Rochas (Britadas) e Cascalho,1947367.9,0.0,-,,287638.41,742134.2,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",29918.9,0.38,-,,19689.69,1188706.21,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Saibro,123504.83,0.0,-,,122904.83,304291.65,0.0,0.0,600.0,3158.82
2010,MG,Não-Metálicos,Potássio,0.0,0.0,t,K2O,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Calcário,40886694.09,0.0,-,,1405801.03,7189101.12,28588.07,841710.13,127832.73,676473.19
2010,MG,Metálicos,Nióbio,5619362.0,140484.05,t,Nb2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Gemas e Diamantes,Gemas,808000.58,490.52,kg,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Rochas Ornamentais - Outras,16216.3,0.0,-,,15404.33,2899293.56,0.0,0.0,215.37,62164.23
2010,MG,Metálicos,Columbita-Tantalita,569933.0,170.2,t,Ta2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Níquel,440537.29,13428.39,t, Ni,6000.0,60000.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Areias Industriais,932636.07,0.0,-,,118535.94,11694247.31,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Argilas,2373131.19,0.0,-,,398578.76,5906095.56,152865.72,845273.47,789779.53,8361984.9
2010,MG,Gemas e Diamantes,Diamante,227199.1,10760.41,ct,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Titânio,6364875.0,955113.14,t,TiO2,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Bário,5619362.0,1049314.24,t,BaSO4,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Alumínio (Bauxita),6501042.32,2361847.9,t,Al2O3,1103053.69,18365153.04,0.0,0.0,671518.0,12586263.01
2010,MG,Metálicos,Ouro,48182808.98,31994.59,kg,Au,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Rochas (Britadas) e Cascalho,15713610.56,0.0,-,,411275.66,2172648.16,21329.48,104382.7,182029.56,1804031.64
2010,MG,Metálicos,Zircônio,0.0,0.0,t,ZrSiO4,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,"Geodos, Ágatas, Calcedônia, etc",0.0,0.0,t,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Cobalto,382969.29,76.59,t,Co,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Estanho,571531.0,316957.59,kg,Sn,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Rochas Ornamentais,817331.03,0.0,-,,687301.42,121397071.14,4136.0,90764.8,96177.48,14401743.87
2010,MG,Não-Metálicos,Talco e outras Cargas Minerais,771879.37,0.0,-,,76623.96,2083653.3,0.0,0.0,48977.17,2305589.61
2010,MG,Metálicos,Ferro,359154146.18,199603957.65,t,Fe,17749753.36,601190647.28,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Cromo,175.0,35.0,t,Cr2O3,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Lítio,35927.96,502.53,t,Li2O,1448.96,628456.7,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Enxofre,382969.29,13174.0,t,S,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Zinco,2311951.0,224897.16,t,Zn,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Columbita-Tantalita,31848.0,2.87,t,Nb2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Prata,46221073.0,7199.75,kg,Ag,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Cobre,382969.29,539.0,t,Cu,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Mica,0.0,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Manganês,991605.55,190404.19,t,Mn,222455.01,5869319.11,0.0,0.0,27333.84,2400885.7
2010,MG,Não-Metálicos,Cianita e outros minerais refratários,115.0,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Fosfato,22237453.65,2036796.44,t,P2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Areia,4123619.34,0.0,-,,3499654.17,42247894.71,0.0,0.0,2472.21,32680.1
2010,MG,Metálicos,Cádmio,0.0,0.0,t,Cd,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Energéticos,Turfa,330.0,0.0,-,,330.0,10900.0,0.0,0.0,0.0,0.0
2010,MG,Metálicos,Chumbo,2299496.0,24047.32,t,Pb,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Dolomito e Magnesita,341.8,0.0,-,,391.1,9305.79,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Quartzo (Cristal) e outros Piezelétricos,56.69,0.0,-,,56.69,76155.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Grafita,1204047.09,83852.4,t,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MG,Não-Metálicos,Caulim,20413.56,0.0,-,,14890.56,711970.1,0.0,0.0,0.0,0.0
2010,MS,Gemas e Diamantes,Diamante,0.0,0.0,ct,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MS,Metálicos,Manganês,256027.0,97290.0,t,Mn,0.0,0.0,0.0,0.0,0.0,0.0
2010,MS,Não-Metálicos,Talco e outras Cargas Minerais,222070.68,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MS,Não-Metálicos,Rochas Ornamentais,0.0,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,MS,Não-Metálicos,Areia,2386130.88,0.0,-,,1506586.07,11483893.2,0.0,0.0,59.6,696.05
2010,MS,Não-Metálicos,Rochas (Britadas) e Cascalho,4313113.23,0.0,-,,190651.52,1192474.22,0.0,0.0,346416.31,1553655.23
2010,MS,Não-Metálicos,Dolomito e Magnesita,679322.96,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
