Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção,Unidade de Medida - Produção,Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda,Unidade de Medida - Venda,Valor Venda (R$),Quantidade Consumo/Utilização na Usina,Unidade de Medida - Consumo/Utilização na Usina,Valor Consumo / Utilização na Usina (R$),Quantidade Transferência para Transformação / Utilização / Consumo,Unidade de Medida - Transferência para Transformação / Utilização / Consumo,Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,MG,Metálicos,Lítio,7262.0,t,363.1,t,Li2O,49.13,t,43717.0,0,t,0.0,6630.2,t,5263443.65
2010,MG,Metálicos,Manganês,694985.56,t,136868.8,t,Mn,593494.78,t,55908647.51,2450,t,192500.0,141404.07,t,14489526.58
2010,MG,Metálicos,Nióbio,139125.0,t,74974.0,t,Nb2O5,0.0,t,0.0,0,t,0.0,139125.0,t,133949200.0
2010,MG,Metálicos,Níquel,79479.0,t,13210.83,t, Ni,29250.68,t,443950574.89,50367,t,9474091.27,0.0,t,0.0
2010,MG,Metálicos,Ouro,30767.1,kg,30767.1,kg,Au,30510.74,kg,2109878624.07,0,kg,0.0,0.0,kg,0.0
2010,MG,Metálicos,Prata,6113.96,kg,6113.96,kg,Ag,6164.03,kg,7235487.3,0,kg,0.0,0.0,kg,0.0
2010,MG,Metálicos,Zinco,495584.39,t,211202.71,t,Zn,86958.38,t,72340491.3,0,t,0.0,397419.0,t,52471230.47
2010,MG,Não-Metálicos,Areia,535507.77,t,0.0,-,,531586.42,t,9117174.58,0,t,0.0,0.0,t,0.0
2010,MG,Não-Metálicos,Areias Industriais,768505.18,t,0.0,-,,369826.21,t,18595888.02,"41358,07",t,144753.22,349238.08,t,5546405.38
2010,MG,Não-Metálicos,Argilas,1659124.52,t,0.0,-,,713312.44,t,6744286.1,"253309,26000000001",t,620607.69,689401.18,t,19708066.74
2010,MG,Não-Metálicos,Calcário,40194897.35,t,0.0,-,,20538014.08,t,371536775.86,"3190416,0600000001",t,11203431.36,16692270.23,t,172869451.26
2010,MG,Não-Metálicos,Caulim,523.0,t,0.0,-,,523.0,t,5225.0,0,t,0.0,0.0,t,0.0
2010,MG,Não-Metálicos,Cianita e outros minerais refratários,0.0,t,0.0,-,,0.0,t,0.0,0,t,0.0,291.0,t,120485.83
2010,MG,Não-Metálicos,Enxofre,291351.46,t,69739.83,t,S,298245.84,t,70648002.88,0,t,0.0,0.0,t,0.0
2010,MG,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",146122.16,t,0.0,-,,136867.32,t,16397493.53,0,t,0.0,0.0,t,0.0
2010,MG,Não-Metálicos,Fosfato,3482345.69,t,1217440.98,t,P2O5,46607.39,t,3246635.87,"895430,35000000009",t,151264718.99,3191027.52,t,355269341.96
2010,MG,Não-Metálicos,Grafita,72497.81,t,58042.75,t,,71383.28,t,114481531.09,0,t,0.0,0.0,t,0.0
2010,MG,Não-Metálicos,Rochas (Britadas) e Cascalho,14692555.98,t,0.0,-,,13795397.43,t,341443374.6,86218,t,1033645.0,63113.69,t,644635.12
2010,MG,Não-Metálicos,Rochas Ornamentais,5491.57,t,0.0,-,,5353.2,t,2727617.66,0,t,0.0,0.0,t,0.0
2010,MG,Não-Metálicos,Talco e outras Cargas Minerais,640106.07,t,0.0,-,,535721.92,t,26248540.34,0,t,0.0,0.0,t,0.0
2010,MS,Gemas e Diamantes,Diamante,0.0,ct,0.0,ct,,0.0,ct,0.0,0,ct,0.0,0.0,ct,0.0
2010,MS,Metálicos,Ferro,6575434.0,t,4175411.76,t,Fe,4715988.8,t,629603935.44,0,t,0.0,0.0,t,0.0
2010,MS,Metálicos,Manganês,203784.0,t,89144.01,t,Mn,299089.0,t,111433681.97,0,t,0.0,0.0,t,0.0
2010,MS,Não-Metálicos,Areia,535770.89,t,0.0,-,,528478.53,t,6522952.18,0,t,0.0,0.0,t,0.0
2010,MS,Não-Metálicos,Argilas,440266.72,t,0.0,-,,61583.22,t,2827495.59,"295158,28000000003",t,3035829.41,78728.4,t,12.0
2010,MS,Não-Metálicos,Calcário,2061871.28,t,0.0,-,,1000367.77,t,20626708.62,0,t,0.0,1026356.92,t,8422109.09
2010,MS,Não-Metálicos,Dolomito e Magnesita,765862.88,t,0.0,-,,779774.51,t,20597400.03,0,t,0.0,0.0,t,0.0
2010,MS,Não-Metálicos,Rochas (Britadas) e Cascalho,4186043.81,t,0.0,-,,4103827.22,t,69090449.19,0,t,0.0,219331.22,t,1756396.77
2010,MS,Não-Metálicos,Talco e outras Cargas Minerais,222070.68,t,0.0,-,,0.0,t,0.0,0,t,0.0,222070.68,t,1423682.9
2010,MT,Gemas e Diamantes,Diamante,8405.83,ct,8352.45,ct,,16843.34,ct,1446801.75,0,ct,0.0,0.0,ct,0.0
2010,MT,Metálicos,Estanho,208248.0,kg,145774.0,kg,Sn,208248.0,kg,3115467.8,0,kg,0.0,0.0,kg,0.0
2010,MT,Metálicos,Ferro,36150.92,t,0.0,-,Fe,0.0,t,0.0,0,t,0.0,36150.92,t,416050.02
2010,MT,Metálicos,Ouro,4132.62,kg,3970.8,kg,Au,4137.49,kg,284256534.69,"9,5059700000000014",kg,701498.0,0.0,kg,0.0
2010,MT,Não-Metálicos,Areia,3211.1,t,0.0,-,,3068.74,t,80446.73,0,t,0.0,0.0,t,0.0
2010,MT,Não-Metálicos,Argilas,204648.61,t,0.0,-,,42063.99,t,5041141.99,0,t,0.0,92959.47,t,1069842.88
2010,MT,Não-Metálicos,Calcário,4745624.43,t,0.0,-,,3657161.74,t,92994311.81,0,t,0.0,1121400.06,t,11187069.88
2010,MT,Não-Metálicos,Dolomito e Magnesita,537035.0,t,0.0,-,,531639.19,t,10072404.85,0,t,0.0,0.0,t,0.0
2010,MT,Não-Metálicos,Rochas (Britadas) e Cascalho,2492806.21,t,0.0,-,,2489832.3,t,58814619.35,0,t,0.0,9148.08,t,118925.04
2010,PA,Gemas e Diamantes,Gemas,180952.0,kg,180952.0,kg,,180952.0,kg,181132.78,0,kg,0.0,0.0,kg,0.0
2010,PA,Metálicos,Alumínio (Bauxita),27106990.02,t,13127711.21,t,Al2O3,27588772.65,t,1595263659.96,0,t,0.0,0.0,t,0.0
2010,PA,Metálicos,Cobre,394294.0,t,117221.0,t,Cu,422433.3,t,1433448500.51,"11177,65",t,24613831.9,0.0,t,0.0
2010,PA,Metálicos,Ferro,101769670.98,t,66677560.79,t,Fe,92569910.63,t,13923996643.46,0,t,0.0,6037355.0,t,173155636.43
2010,PA,Metálicos,Manganês,2197525.78,t,978068.22,t,Mn,2171084.42,t,656767487.4,0,t,0.0,181055.73,t,18465358.58
2010,PA,Metálicos,Ouro,1342.2,kg,1342.08,kg,Au,1392.48,kg,96420638.18,0,kg,0.0,0.0,kg,0.0
2010,PA,Metálicos,Tungstênio,172.75,t,112.28,t,WO3,159.5,t,3291688.88,0,t,0.0,0.0,t,0.0
2010,PA,Não-Metálicos,Areia,0.0,t,0.0,-,,0.0,t,26617.36,0,t,0.0,0.0,t,0.0
2010,PA,Não-Metálicos,Areias Industriais,19864.26,t,0.0,-,,0.0,t,0.0,0,t,0.0,19864.26,t,2468588.3
2010,PA,Não-Metálicos,Argilas,11180.0,t,0.0,-,,11180.0,t,1346119.0,0,t,0.0,0.0,t,0.0
2010,PA,Não-Metálicos,Calcário,80803.23,t,0.0,-,,80803.23,t,3510776.68,0,t,0.0,0.0,t,0.0
2010,PA,Não-Metálicos,Caulim,1620661.0,t,0.0,-,,1595238.28,t,428003380.44,0,t,0.0,0.0,t,0.0
2010,PA,Não-Metálicos,Rochas (Britadas) e Cascalho,129211.9,t,0.0,-,,101293.9,t,3235788.95,0,t,0.0,27785.0,t,513715.86
2010,PA,Não-Metálicos,Rochas Ornamentais,0.0,t,0.0,-,,0.0,t,0.0,0,t,0.0,0.0,t,0.0
2010,PB,Metálicos,Titânio,82953.51,t,45702.83,t,TiO2,83886.57,t,20656362.85,0,t,0.0,0.0,t,0.0
2010,PB,Metálicos,Zircônio,21892.5,t,14183.13,t,ZrSiO4,21830.5,t,43026946.26,0,t,0.0,0.0,t,0.0
2010,PB,Não-Metálicos,Areias Industriais,1285.0,t,0.0,-,,920.0,t,27600.0,0,t,0.0,0.0,t,0.0
2010,PB,Não-Metálicos,Argilas,434101.75,t,0.0,-,,353375.26,t,94165245.55,0,t,0.0,81275.0,t,367969.0
2010,PB,Não-Metálicos,Calcário,2914468.46,t,0.0,-,,17755.0,t,3551660.0,"87,460000000000008",t,2644.8,2896626.0,t,20222181.0
2010,PB,Não-Metálicos,Cianita e outros minerais refratários,2834.94,t,0.0,-,,3119.0,t,1269465.11,0,t,0.0,0.0,t,0.0
2010,PB,Não-Metálicos,Dolomito e Magnesita,4285.54,t,0.0,-,,0.0,t,0.0,"4285,54",t,129595.2,0.0,t,0.0
2010,PB,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",1785.0,t,0.0,-,,1785.0,t,189012.28,0,t,0.0,0.0,t,0.0
2010,PB,Não-Metálicos,Rochas (Britadas) e Cascalho,696879.59,t,0.0,-,,660881.98,t,16330585.69,0,t,0.0,0.0,t,0.0
2010,PB,Não-Metálicos,Rochas Ornamentais,10796.0,t,0.0,-,,8058.0,t,7669024.77,2716,t,1362504.0,0.0,t,0.0
